policy,arm,seed,t,n,hit_rate,ttft_p50,ttft_p99,newcomer_share,newcomer_hit,t_add,turnover
hybrid,none,0,0.0,114,0.25191520450125476,0.48422499999999813,5.775049499999974,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,20.0,109,0.2870513188285876,0.19484999999999886,5.41948200000034,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,40.0,90,0.41522503103119823,0.12077499999858787,2.9715864999991064,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,60.0,110,0.30537601175164236,0.3468000000006697,6.61332300000108,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,80.0,121,0.353329274181696,0.5040000000001044,5.907280000001213,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,100.0,99,0.4460683962090473,0.1443000000003707,7.561282000001565,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,120.0,111,0.4004268939450528,0.4032000000000835,5.504630000001118,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,140.0,161,0.43110919971768413,0.4032000000000835,6.870759999997043,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,160.0,168,0.5860530608261652,0.1800999999981343,2.840387999988325,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,180.0,76,0.3453303386362576,0.11767500000034659,5.033799999999928,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,200.0,133,0.5396585262362602,0.14195000000108848,3.2180800000006604,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,220.0,141,0.3550890554936908,0.2352000000000487,6.101889999998557,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,240.0,108,0.49428702657637363,0.1037499999990672,5.011066000000796,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,260.0,127,0.28507795100222716,0.6056500000024698,5.865845000012646,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,280.0,120,0.45017162385933623,0.328450000017142,3.387388999997845,0.0,nan,397.19960000000003,138.92556969634867
hybrid,none,0,300.0,112,0.4401054225201793,0.10092499999993265,3.8903299999975007,0.0,nan,397.19960000000003,138.92556969634867
