view,config,universal_blocks,hit_rate,ttft_p50,ttft_p99,queue_cv,load_cv
perfect,longest_prefix,0,0.7193734207346802,0.2160000000000064,1.0326468544854022,0.4422024604346293,0.17530935478674958
perfect,longest_prefix,1,0.4226906776738557,539.8878373987467,977.0360623829149,1.7320508075688774,1.7320508075688772
perfect,longest_prefix,4,0.4576419337989332,542.7198373987462,982.7400623829142,1.7320508075688772,1.7320508075688774
perfect,longest_prefix,8,0.49788050522074306,546.6912655331911,990.1051093101969,1.7320508075688774,1.7320508075688772
perfect,lpm_threshold_.5,0,0.7136098283211583,0.21569633664840637,0.9495590003944714,0.2764350254614996,0.12816044854939607
perfect,lpm_threshold_.5,1,0.7211768110781144,0.21600000000000108,0.9518773766706099,0.3411685717483902,0.15003172640098386
perfect,lpm_threshold_.5,4,0.7406630139670252,0.21842371479058897,1.1388581098826567,0.5045489528032164,0.17045308481001134
perfect,lpm_threshold_.5,8,0.7606158091069961,0.2189399420425957,1.2262773835859515,0.5029598664627104,0.16707277271157156
perfect,hybrid,0,0.5955914780227035,0.2478644407797148,1.2008255607764933,0.09257001094095205,0.044764790151969436
perfect,hybrid,1,0.6077838031373004,0.24799999999999045,1.241260962719156,0.09575220296459565,0.050280648186863106
perfect,hybrid,4,0.6287052432865978,0.24799999999999045,1.3390274390991137,0.07706567467124381,0.04157341154276771
perfect,hybrid,8,0.6527091187865444,0.2520049899923862,1.3828668669199815,0.09273117129023634,0.04716732442814177
perfect,dualmap_depth16,0,0.7154725071807198,0.21560374195330567,1.121669436891568,0.30626427016085117,0.11064886220051126
perfect,dualmap_depth16,1,0.702527814242558,5.896233645702395,21.536383959931175,1.3054243278236726,0.519881003111984
perfect,dualmap_depth16,4,0.7225789711949532,0.2400000000000091,1.5766734485341902,0.5612552347318076,0.36204000690115
perfect,dualmap_depth16,8,0.7305605129259929,0.2912898471757721,2.906827590495257,0.9703527192210991,0.5968936532783463
perfect,dualmap_depth1,0,0.7201276354795036,0.21600000000000819,1.1672935063037504,0.48979733335767606,0.2491030920703527
perfect,dualmap_depth1,1,0.4226906776738557,539.8878373987467,977.0360623829149,1.7320508075688774,1.7320508075688772
perfect,dualmap_depth1,4,0.4576419337989332,542.7198373987462,982.7400623829142,1.7320508075688772,1.7320508075688774
perfect,dualmap_depth1,8,0.49788050522074306,546.6912655331911,990.1051093101969,1.7320508075688774,1.7320508075688772
shadow,longest_prefix,0,0.7210603090299179,0.218698844799448,1.0122210399396276,0.5666337124546648,0.19477540862853254
shadow,longest_prefix,1,0.4226906776738557,539.8878373987467,977.0360623829149,1.7320508075688774,1.7320508075688772
shadow,longest_prefix,4,0.4576419337989332,542.7198373987462,982.7400623829142,1.7320508075688772,1.7320508075688774
shadow,longest_prefix,8,0.49788050522074306,546.6912655331911,990.1051093101969,1.7320508075688774,1.7320508075688772
shadow,lpm_threshold_.5,0,0.71890997227335,0.21600000000000819,0.9368816521833699,0.3789316448684531,0.13881699442493953
shadow,lpm_threshold_.5,1,0.7243346538130142,0.21600000000000819,0.9488454328542706,0.39055022965943587,0.15300925671624724
shadow,lpm_threshold_.5,4,0.7432165808604421,0.21942897377273596,1.140176291654822,0.5539835473607881,0.18242124180795483
shadow,lpm_threshold_.5,8,0.760545174756771,0.2216988865606737,1.1578150902301694,0.5720154025292751,0.17340364493136542
shadow,hybrid,0,0.6030089230095665,0.24799999999999045,1.2470173836780134,0.08437420581739069,0.04793014673771777
shadow,hybrid,1,0.6099788301476693,0.24799999999999045,1.2991912381659296,0.08894322317047351,0.04871369357275669
shadow,hybrid,4,0.626021114856931,0.2517417624035829,1.2971275046186856,0.09847863027818449,0.056229754540700845
shadow,hybrid,8,0.6509658761807691,0.2560000000000002,1.3507132106328936,0.08669325590798366,0.0452696319850261
shadow,dualmap_depth16,0,0.7187651676001152,0.21801138670549136,1.0246641616887593,0.372599959543081,0.14971665403373502
shadow,dualmap_depth16,1,0.702527814242558,5.896233645702395,21.536383959931175,1.3054243278236726,0.519881003111984
shadow,dualmap_depth16,4,0.7226622488034671,0.2400951701131646,1.4607508936129276,0.5185904665716546,0.3506892400072181
shadow,dualmap_depth16,8,0.7304906884182558,0.2902419390828257,2.669167365681753,0.9615776595624694,0.5967625451833685
shadow,dualmap_depth1,0,0.7217164464466577,0.21756980462598108,1.1911041353738838,0.529580985213951,0.26131684749456485
shadow,dualmap_depth1,1,0.4226906776738557,539.8878373987467,977.0360623829149,1.7320508075688774,1.7320508075688772
shadow,dualmap_depth1,4,0.4576419337989332,542.7198373987462,982.7400623829142,1.7320508075688772,1.7320508075688774
shadow,dualmap_depth1,8,0.49788050522074306,546.6912655331911,990.1051093101969,1.7320508075688774,1.7320508075688772
