view,config,universal_blocks,hit_rate,ttft_p50,ttft_p99,queue_cv,load_cv
perfect,longest_prefix,0,0.2422160251911054,0.5760000000000218,2.701732385405986,0.21998991667424828,0.2528270931329317
perfect,longest_prefix,1,0.06998409768574906,420.090355392639,1095.0703061988904,1.7320508075688772,1.7320508075688772
perfect,longest_prefix,4,0.12589628736620745,419.7863553926387,1095.8005368970757,1.7320508075688772,1.7320508075688772
perfect,longest_prefix,8,0.19185499601536882,420.90735539263835,1096.697557646899,1.7320508075688772,1.7320508075688772
perfect,lpm_threshold_.5,0,0.2367819537312633,0.5774012769072385,2.656404377609954,0.22880596584196536,0.267946586911976
perfect,lpm_threshold_.5,1,0.25393546041458565,0.5840000000000032,2.7713776309432285,0.22862018185930025,0.2673298650251289
perfect,lpm_threshold_.5,4,0.2985248730203963,0.5784555158684839,2.636140041341226,0.23219589329220847,0.2643593590253954
perfect,lpm_threshold_.5,8,0.3475493681299797,0.5801471493649615,2.6772140469315646,0.22758161648960168,0.26319841634751295
perfect,hybrid,0,0.20954809988217404,0.6045250888051328,2.643260126030827,0.19571333727667936,0.20748577193525858
perfect,hybrid,1,0.2290239942386103,0.5918365218615733,2.6081303501812294,0.19123561624834448,0.2058365387009596
perfect,hybrid,4,0.26657330247525207,0.5999999999999943,2.6887947170952664,0.19554210566188635,0.20974215288536557
perfect,hybrid,8,0.31579659724601383,0.6159999999999854,2.604590922528306,0.1996240443457994,0.2128167107319831
perfect,dualmap_depth16,0,0.25446648530678695,0.6313054441019403,3.573014096835715,0.11421142952462826,0.11855524900831063
perfect,dualmap_depth16,1,0.27391989670977657,0.6276554157528125,3.481324787556895,0.169438774681514,0.12269790105630328
perfect,dualmap_depth16,4,0.3148611346151978,0.6269220883799136,3.5604076732001495,0.15430972195624623,0.13057238834875473
perfect,dualmap_depth16,8,0.3561040032314149,0.6473034623454765,3.4928417579924846,0.1901785510827634,0.16208808800981145
perfect,dualmap_depth1,0,0.2634189167339414,0.6184491456998842,3.727886117158984,0.13354510538022132,0.08956261640919183
perfect,dualmap_depth1,1,0.06998409768574906,420.090355392639,1095.0703061988904,1.7320508075688772,1.7320508075688772
perfect,dualmap_depth1,4,0.12589628736620745,419.7863553926387,1095.8005368970757,1.7320508075688772,1.7320508075688772
perfect,dualmap_depth1,8,0.19185499601536882,420.90735539263835,1096.697557646899,1.7320508075688772,1.7320508075688772
shadow,longest_prefix,0,0.24092586636092284,0.5760000000000218,2.629687324918028,0.2189503343600184,0.25693400032866676
shadow,longest_prefix,1,0.06998409768574906,420.090355392639,1095.0703061988904,1.7320508075688772,1.7320508075688772
shadow,longest_prefix,4,0.12589628736620745,419.7863553926387,1095.8005368970757,1.7320508075688772,1.7320508075688772
shadow,longest_prefix,8,0.19185499601536882,420.90735539263835,1096.697557646899,1.7320508075688772,1.7320508075688772
shadow,lpm_threshold_.5,0,0.23759969633366068,0.5760000000000218,2.64487968697179,0.2308843622461617,0.2673389391685361
shadow,lpm_threshold_.5,1,0.251405284884892,0.5760000000000218,2.5844991564884543,0.2345050562837532,0.26688743495818906
shadow,lpm_threshold_.5,4,0.2962496647372709,0.5840000000000032,2.6677238455071324,0.2261589559436723,0.26351995868320355
shadow,lpm_threshold_.5,8,0.3475738767023424,0.5833207947617467,2.6318303492308717,0.22864805438122043,0.2622677428360136
shadow,hybrid,0,0.20862406935544284,0.6003569126339983,2.656211927782163,0.19789092186196033,0.20662784132848055
shadow,hybrid,1,0.2259785057707865,0.5963686330601732,2.553498065276427,0.19363366749395372,0.2060267211372061
shadow,hybrid,4,0.2652001649773974,0.6053129675263236,2.6478711793740417,0.19277276358254097,0.21125875190329874
shadow,hybrid,8,0.314966275950623,0.6170344848322458,2.5704466192363755,0.1980264338548084,0.21249916568297897
shadow,dualmap_depth16,0,0.2569701034555689,0.6273591941887844,3.484002865539229,0.09954850423973116,0.11500426011237866
shadow,dualmap_depth16,1,0.2736074705459547,0.628648209172205,3.407737614131058,0.1673284772266725,0.12233850964725781
shadow,dualmap_depth16,4,0.3131195740228291,0.6363174975361829,3.457507386583939,0.14547114732441702,0.1308545295484172
shadow,dualmap_depth16,8,0.3556132841188605,0.6470592795122911,3.4349344172768257,0.1934618682466699,0.162681164844147
shadow,dualmap_depth1,0,0.26301590402034203,0.6239999999999952,3.711993352346008,0.1507018511754257,0.08972407807504733
shadow,dualmap_depth1,1,0.06998409768574906,420.090355392639,1095.0703061988904,1.7320508075688772,1.7320508075688772
shadow,dualmap_depth1,4,0.12589628736620745,419.7863553926387,1095.8005368970757,1.7320508075688772,1.7320508075688772
shadow,dualmap_depth1,8,0.19185499601536882,420.90735539263835,1096.697557646899,1.7320508075688772,1.7320508075688772
