trace,cache_blocks,policy,turnover_s,turnover_over_gap,hit_rate,ttft_p50,ttft_p99,queue_cv
toolagent,256,global pool,27.524693131217433,0.3398110263113263,0.3339428263004764,979.4058750000415,1698.3379425002825,0.0
toolagent,256,round_robin,26.830021267051904,0.3312348304574309,0.3164169503631178,0.33507500000773405,7.966467000001213,0.0914704851880673
toolagent,256,longest_prefix,27.404149737232178,0.33832283626212567,0.33092331459272184,0.23557499999992615,7.372746999995081,0.4868802734676318
toolagent,256,hybrid,27.516127509877148,0.3397052778997179,0.3337562947667386,0.3111749999868607,7.123467499997541,0.20170002613597146
toolagent,256,dualmap,27.17237352858651,0.3354614015874878,0.3251752523928036,0.37059999999985394,6.964868500002727,0.09850345066239849
toolagent,1024,global pool,142.7406658828897,1.7622304429986382,0.43254406576584303,762.4757750000065,1337.9755940001967,0.0
toolagent,1024,round_robin,121.95873775112445,1.5056634290262276,0.3435411927569811,0.3023999999998068,7.063034999995407,0.09225511295802202
toolagent,1024,longest_prefix,136.40727438584724,1.6840404245166327,0.4082180115860455,0.18509999999770343,6.557459999996192,0.5194048908044585
toolagent,1024,hybrid,138.92556969634867,1.7151304900783786,0.4182672746699162,0.21119999997665673,6.21606999999603,0.1978193975366617
toolagent,1024,dualmap,137.46764356569497,1.697131402045617,0.41248908335004036,0.27504999998969026,6.054763500000353,0.08898992145861043
toolagent,4096,global pool,1454.3037110932332,17.954366803620164,0.5246469203403464,611.5181999999521,1004.6123034999302,0.0
toolagent,4096,round_robin,824.9104127772848,10.184079170089936,0.36811134661043543,0.2690499999998508,6.900308499995409,0.08228588662549073
toolagent,4096,longest_prefix,1167.7645432098766,14.416846212467613,0.5143468502668284,0.14912499999999795,6.392591999997098,0.531065326950479
toolagent,4096,hybrid,1340.4157047167869,16.548342033540578,0.5072748643207715,0.15559999999581464,5.890063999994318,0.17473898109267189
toolagent,4096,dualmap,1309.5581451281846,16.167384507755365,0.5019393199882733,0.17572499999857882,5.745931999996363,0.08035491633772049
toolagent,16384,global pool,inf,inf,0.5277596888479699,611.5181999999521,993.221903499913,0.0
toolagent,16384,round_robin,inf,inf,0.37113284899218724,0.2674250000036409,6.900308499995409,0.08260994487262752
toolagent,16384,longest_prefix,inf,inf,0.5274474937764089,0.13564999999994143,6.3792629999830535,0.5305342739012505
toolagent,16384,hybrid,inf,inf,0.5102391393086038,0.15062499999797296,5.771725499999023,0.1718021625453376
toolagent,16384,dualmap,inf,inf,0.5071731785409145,0.17177500000715895,5.745931999996363,0.08390232010723175
conversation,256,global pool,26.968029656098988,0.21925227362682104,0.05560660349039488,1993.1936250004983,3370.3791054994103,0.0
conversation,256,round_robin,26.567543969065735,0.21599629243142873,0.04130408770073043,0.6706999999811956,7.012588499977136,0.025956861470469425
conversation,256,longest_prefix,26.971634398919406,0.21928158047901955,0.0557360206062214,0.7553249999985496,7.344345999994778,0.12932050117968008
conversation,256,hybrid,26.86390963745673,0.2184057694102173,0.0519257766550233,0.7488249999917116,7.323004999994892,0.11201566365181029
conversation,256,dualmap,26.954378317573028,0.21914128713474007,0.055126054867246733,0.8075999999938404,7.545842999985897,0.10102082318669478
conversation,1024,global pool,131.10337516670657,1.0658810989163137,0.18279505455174766,1606.5898500004414,2738.5363735004935,0.0
conversation,1024,round_robin,113.870710010841,0.925778130169439,0.06460202592911514,0.64729999999048,6.95458150000311,0.02385382414047479
conversation,1024,longest_prefix,130.68218732157922,1.062456807492514,0.18027693331772343,0.6047999999996136,6.781710499992352,0.12406133009382207
conversation,1024,hybrid,128.5665995975855,1.0452569072974431,0.16737362021998717,0.6183500000004756,6.9896004999722,0.12301931258767537
conversation,1024,dualmap,128.20545746388444,1.0423207923893043,0.165130733793742,0.6648499999967044,7.547179499997829,0.10192098012096738
conversation,4096,global pool,871.0958122097728,7.082079774063193,0.32955213288448726,1219.4659750001488,2001.262638500655,0.0
conversation,4096,round_robin,585.416489316015,4.759483652975732,0.10009550823969772,0.5993750000048976,6.816934499922884,0.026243927343536554
conversation,4096,longest_prefix,869.3551020408163,7.067927658868425,0.3286129552626076,0.4270250000000715,6.520963499996296,0.14440545479475636
conversation,4096,hybrid,823.4890052356021,6.6950325628910745,0.30236282199977194,0.4703999999996995,6.521406999996407,0.11983258859132516
conversation,4096,dualmap,815.4321112381357,6.62952935965964,0.29744518035669204,0.5022250000073996,7.157079999995434,0.11030682906327206
conversation,16384,global pool,inf,inf,0.35273298378577983,1181.085525000025,1892.3612000005542,0.0
conversation,16384,round_robin,70285.52964766542,571.427070306223,0.12386201758217436,0.5711999999996351,6.755867499995642,0.026850919641558637
conversation,16384,longest_prefix,inf,inf,0.3526862219203577,0.39425000001244825,6.496694999998525,0.14962775816463803
conversation,16384,hybrid,inf,inf,0.31873802094156556,0.4466249999970273,6.468335999999207,0.11836085189249784
conversation,16384,dualmap,inf,inf,0.32091487449925565,0.4703999999996995,6.5980055000049935,0.1149944407289364
